ticker,beta_spx,volatility_30d,mom_1m,mom_3m,mom_6m,mom_12m,pe_ttm,pe_forward,peg_ratio,ps_ratio,pb_ratio,ev_ebitda,fcf_yield,earnings_yield,dividend_yield,price_to_cf_ratio,revenue_yoy,revenue_cagr_3y,revenue_cagr_5y,eps_yoy,eps_cagr_3y,eps_cagr_5y,ebitda_yoy,fcf_yoy,ocf_yoy,gross_margin,operating_margin,net_margin,ebitda_margin,fcf_margin,operating_cf_margin,roe,roa,roic,roc,quality_of_earnings,cash_ratio,cf_return_on_investment,debt_to_ocf_ratio,capex_to_ocf_ratio,ocf_to_sales,asset_turnover,inventory_turnover,receivables_turnover,cash_conversion_cycle,debt_to_equity,debt_to_assets,net_debt_ebitda,interest_coverage,current_ratio,quick_ratio,payout_ratio,dividend_growth_5y,name,sector,region,style,asof_date
SPHR,,,-3.3585789581078496,30.502448555651963,,,,-9.498383,,2.0300708,0.9133486,-37.525,-6.706572999375436,,,,78.9532109628096,16.61623266761376,,-139.90854701534693,,,-106.29954726046383,-69.70808600874655,-112.79892702046344,45.7335015243363,-29.638734826154884,-4.4770742854831616,45.795814774180826,-17.912973795572093,-11.50899181459217,,-0.7398036547190288,,7.5674221557211405,2.570650179272183,0.4074883742600147,,,,-11.50899181459217,0.1652426579379819,66.52350121920458,3.2764077143200274,70.91527167565764,,31.72047322704856,2.646790130271583,,0.6302031920190787,0.6215454008077597,,,Sphere Entertainment,Entertainment,US,Turnaround,2025-10-18
TSM,,,9.842156969217509,20.146571351425436,,,32.462044,36.519802,,0.42144316,1.5307996,2.365,60.71703278629025,3.0805207460134056,112.99999999999999,0.7168885431075822,33.88813286063912,22.166296051413248,,36.00162021274096,25.051430050757606,,36.470149000975915,200.51952601974605,47.03906455508129,58.58193689765899,48.717459450044416,42.45725167986392,72.62874507818215,27.320873421851132,62.76714858531845,,21.57959256995393,,36.91474755530481,1.4783610832513412,1.6258108796972528,,0.4904556256780584,56.472654824021085,62.76714858531845,0.508266355360642,11.815100681282585,12.500367914192436,-17.85130907907471,,15.646726191672581,-0.43743983595079017,,2.359942059635386,2.139969185176944,1.1996066959745049,166.0,TSMC,Semiconductors,Asia,Blend,2025-10-18
BAKKA.OL,,,-0.537858116744705,22.340963815004766,,,79.339935,12.047106,,4.3621564,2.7344282,31.894,-0.2228952684963609,1.2603993184516726,278.0,27.69464906244808,2.700309164918635,9.709064277536438,,-31.287582123414825,-12.016841551676904,,-10.769619421871768,-3475.188600167645,130.25954267142,61.06673939649412,5.0678459117613945,3.4145246894212824,17.970170192586348,-0.9510462796417957,15.406533589444516,,1.2906147882201875,,6.7923267531904665,4.512058043444905,0.6268889604993131,,3.6719739065294887,106.17300623868687,15.406533589444516,0.37797787557920093,1.7535815505750876,,,,21.38311153558576,2.747867736789714,,6.7546853004528415,1.7845251032951377,347.48616225860894,190.0,Bakkafrost,Food,Europe,Value,2025-10-18
UBER,,,-2.534312538358452,1.988953648351166,,,15.724021,39.110172,,4.0667667,8.523409,37.952,4.436729010793051,6.359696416075761,,21.90057426328365,17.963573938467327,36.07297310190785,,422.3105458399576,,,42.573471008737094,105.08625817965496,99.07949790794979,39.69491453804061,9.526525955504848,26.67596289957956,16.397287190213603,18.04314297183664,18.569225243497918,,24.638982124736554,,15.145187729295136,0.6961032789482021,0.5135064482398048,,1.2659005575150757,2.8330868130617817,18.569225243497918,0.9236398407618452,,12.406553079947575,,,21.711810163141052,0.674268779796418,,1.06700941094458,,,,Uber Technologies,Mobility,US,Growth,2025-10-18
GRAB,,,-11.181103130867776,7.428568885439923,,,282.0,188.0,,7.4843187,3.6130686,153.998,2.6487673271171954,0.3546099290780142,,31.625621656121044,18.56718948707079,60.61874609877733,,,,,-141.89189189189187,-12416.666666666668,890.6976744186046,42.87109375,2.799479166666667,3.61328125,8.365885416666668,19.82421875,23.665364583333336,,1.1941904249596558,,2.764927380311996,6.54954954954955,1.1435185185185186,,0.5006877579092159,16.23108665749656,23.665364583333336,0.3305002689618074,52.067796610169495,4.733436055469954,39.09016927083333,,3.9160839160839163,-10.116731517509727,,2.533179012345679,2.5104166666666665,,,Grab Holdings,SuperApp,Asia,Growth,2025-10-18
ZTS,,,-2.0666270691944044,-3.658129649808084,,,24.795181,22.722397,,6.8028784,12.849879,17.46,3.4756043571693396,4.033041743070962,139.0,21.797545734380336,8.333333333333325,5.97962163454151,,6.058020477815695,6.865297331786646,,5.1554828150572884,41.76434299814928,25.499362515937097,71.45444858817261,37.50665956313266,27.831646244006393,42.8236547682472,23.644112946190727,31.20937666489078,,18.346561775654983,,28.229261782678932,1.1213629402756509,0.5817702227432591,,2.302492318197337,24.240355069989757,31.20937666489078,0.6591978647186907,4.069817866435386,7.13145896656535,111.69738945125198,,47.369530097632925,1.1841254043294351,,1.7543962485345839,1.078546307151231,33.93441592649311,79.0,Zoetis,Healthcare,US,Blend,2025-10-18
NU,,,-6.191368263221275,7.219444213050985,,,31.914894,24.193548,,12.392218,7.5719337,,5.045152969534137,3.1333332957333337,,18.391373779041107,46.82767821505831,93.28610591122455,,91.36871318641863,,,,104.19414131287033,89.46966053251133,,,25.65074890756085,,40.783446960982225,43.95369795517071,,4.606471214579321,,,1.7135444315317772,,,0.14664091521838027,7.212705964858508,43.95369795517071,0.17958427768249335,,0.6454922211834582,,,1.1574943881797066,,,,,,,Nu Holdings,Fintech,LatAm,Growth,2025-10-18
BYD,,,-1.116446904087065,0.1279282459242026,,,12.750774,12.770543,,1.6398276,4.761272,8.506,7.024980412710223,7.842661159236294,87.0,6.918346939010658,5.127789493731694,5.261492729484396,,-6.7853934450818665,7.6067013371734715,,2.1268758457288817,2.980024640839418,4.6537184696604506,51.602120701418464,23.730896158723887,14.015632650102141,30.108766141870696,11.51975656723251,23.702592332543144,,8.831779392864156,,18.97267051690326,1.691153936770054,0.5085845973485791,,4.117836960222065,51.3987482651164,23.702592332543144,0.6301377621223393,189.6738403578997,24.820360499152674,3.4056616093853496,,61.50359483182789,2.9805508048994884,,0.901751286766182,0.8676489717915158,10.227015268081578,210.0,BYD Company,Automotive,China,Growth,2025-10-18
PYPL,,,-1.6199548093079996,-8.732733407719762,,,14.43469,13.785277,,1.9943659,3.203441,10.185,8.21712802960728,6.927755289514358,,10.616891421035278,6.805280306338379,7.815910254312786,,-2.3316062176165775,-0.17621181883088477,,-1.2737920937042513,60.355450236966824,53.83027049349576,46.912547999504525,19.079028861637557,14.48965688096123,22.485445311532267,16.387959866220736,18.78483835005574,,5.733295756699464,,8.89708495178346,1.2964308612951485,0.13562510335703654,,1.6285855588526212,12.759643916913946,18.78483835005574,0.39568195463846784,,0.7078784690253848,,,12.104985847496048,0.45696185098471287,,1.2628576153464528,,,,PayPal,Fintech,US,Blend,2025-10-18
GOOGL,,,0.5039099625489651,38.101401057606644,,,27.033085,28.27009,,8.255464,8.448121,21.371,2.1763357097651417,3.6991708493499726,33.0,22.93109678666946,13.86624332290156,10.754330242226517,,35.67043837658379,9.606593302753442,,38.19803819497607,4.703935534930581,23.148821575295344,58.94253888674983,32.67914022385629,31.118285186551393,42.47399696822016,17.966661191871815,36.001173939617495,,25.668286485910237,,35.03517998649657,1.156913812049527,0.2633019905298355,,0.19042241301941545,50.094235199090555,36.001173939617495,0.8248618563661562,,7.095892243026366,,,5.654783056749938,0.012646753049167027,,1.8369313974102914,,4.227873292204927,,Alphabet,Tech,US,Blend,2025-10-18
